Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi
Sehzadeler,120,1,En Üst Kat,50 Yaşında,Merkezi,Var,Var,Yok,İkinci El,-,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,3,1
Soma,460,1,-,25 Yaşında,Soba,Yok,Yok,Var,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,1850000.0,2,1
Sehzadeler,231,1,-,37 Yaşında,Soba,Yok,Yok,Var,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,4200000.0,3,1
Akhisar,280,3,-,5 Yaşında,Kombi,Yok,Yok,Var,Sıfır,Boş,Kat Mülkiyeti,Evet,Eşyalı,11000000.0,4,2
Soma,300,1,Bahçe Katı,21 Yaşında,Soba,Yok,Var,Var,-,Kiracılı,Hisseli Tapu,Hayır,-,3500000.0,2,1
Salihli,210,3,4. Kat,2 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5295000.0,3,1
Salihli,50,1,Ara Kat,8 Yaşında,Klima,Yok,Var,Yok,-,-,Kat Mülkiyeti,-,-,1925000.0,1,1
Yunusemre,85,1,Yüksek Giriş,4 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3175000.0,2,1
Salihli,55,1,5. Kat,10 Yaşında,Klima,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,Eşyalı,1650000.0,1,1
Yunusemre,180,2,-,20 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2700000.0,2,1
Akhisar,130,2,2. Kat,35 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2150000.0,3,1
Salihli,105,-,Ara Kat,20 Yaşında,Klima,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,-,Eşyalı Değil,2600000.0,2,1
Sehzadeler,200,2,4. Kat,6 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,9650000.0,3,1
Yunusemre,185,2,5. Kat,1 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,9750000.0,3,1
Turgutlu,160,2,4. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,4,1
Yunusemre,46,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,1,1
Soma,180,1,1. Kat,35 Yaşında,Jeotermal Isıtm...,Var,Yok,Yok,İkinci El,Boş,Hisseli Tapu,Hayır,Eşyalı Değil,3420000.0,3,1
Saruhanli,147,2,4. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1
